"Gene","Frontier"
"ADORA3",1
"BCAS1",1
"EGR1",1
"GFAP",1
"C4A/B",2
"ERBB3",2
"PLXDC2",2
"PLXNB3",2
"SERPINA3",2
"BDNF",3
"OLIG1",3
"SELPLG",3
"SPP1",3
"UGT8",3
"CXCL8",4
"MYRF",4
"P2RX7",4
"PLEKHB1",4
"TREM2",4
"C3",5
"CSF1R",5
"FA2H",5
"TFEC",5
"C3AR1",6
"CSF3R",6
"GPR34",6
"IL6",6
"TMEM119",6
"C1QC",7
"CD44",7
"FCGR3A/B",7
"IL18",7
"SOX10",7
"AGMO",8
"C1QB",8
"FCGRT",8
"ITGAX",8
"TGM1",8
"TLR2",8
"TLR4",8
"CCL2",9
"EMP1",9
"ERMN",9
"FABP5",9
"NWD1",9
"RHOB",9
"S100A12",9
"TGFB1",9
"CD74",10
"CTSS",10
"GSN",10
"SCOC",10
"SLC38A2",10
"TLR7",10
"TYROBP",10
